GEOIDFQ,GEOID,SUMLEVEL,GEOTYPE,NAME,SOURCE,STATEFP,COUNTYFP,COUSUBFP,PLACEFP,TRACTCE,CLASSFP,MUNITYPE,PLACECOMBO
M250000US3929288083,3929288083,M25,JURIS-COUNTY-MORPC,Gann,MORPC,39,39083,,29288,,,Village,KNOX_GANN_VILLAGE
M250000US3930436127,3930436127,M25,JURIS-COUNTY-MORPC,Glenford,MORPC,39,39127,,30436,,,Village,PERRY_GLENFORD_VILLAGE
M250000US3931304049,3931304049,M25,JURIS-COUNTY-MORPC,Grandview Heights,MORPC,39,39049,,31304,,,City,FRANKLIN_GRANDVIEW HEIGHTS_CITY
M250000US3931402089,3931402089,M25,JURIS-COUNTY-MORPC,Granville,MORPC,39,39089,,31402,,,Village,LICKING_GRANVILLE_VILLAGE
M250000US3931458089,3931458089,M25,JURIS-COUNTY-MORPC,Gratiot,MORPC,39,39089,,31458,,,Village,LICKING_GRATIOT_VILLAGE
M250000US3931948101,3931948101,M25,JURIS-COUNTY-MORPC,Green Camp,MORPC,39,39101,,31948,,,Village,MARION_GREEN CAMP_VILLAGE
M250000US3932592049,3932592049,M25,JURIS-COUNTY-MORPC,Grove City,MORPC,39,39049,,32592,,,City,FRANKLIN_GROVE CITY_CITY
M250000US3932606049,3932606049,M25,JURIS-COUNTY-MORPC,Groveport,MORPC,39,39049,,32606,,,City,FRANKLIN_GROVEPORT_CITY
M250000US3933292089,3933292089,M25,JURIS-COUNTY-MORPC,Hanover,MORPC,39,39089,,33292,,,Village,LICKING_HANOVER_VILLAGE
M250000US3933740049,3933740049,M25,JURIS-COUNTY-MORPC,Harrisburg,MORPC,39,39049,,33740,,,Village,FRANKLIN_HARRISBURG_VILLAGE
M250000US3933740129,3933740129,M25,JURIS-COUNTY-MORPC,Harrisburg,MORPC,39,39129,,33740,,,Village,PICKAWAY_HARRISBURG_VILLAGE
M250000US3934202089,3934202089,M25,JURIS-COUNTY-MORPC,Hartford,MORPC,39,39089,,34202,,,Village,LICKING_HARTFORD_VILLAGE
M250000US3934748089,3934748089,M25,JURIS-COUNTY-MORPC,Heath,MORPC,39,39089,,34748,,,City,LICKING_HEATH_CITY
M250000US3934790089,3934790089,M25,JURIS-COUNTY-MORPC,Hebron,MORPC,39,39089,,34790,,,Village,LICKING_HEBRON_VILLAGE
M250000US3934888127,3934888127,M25,JURIS-COUNTY-MORPC,Hemlock,MORPC,39,39127,,34888,,,Village,PERRY_HEMLOCK_VILLAGE
